review_id,entity_type,canonical_identity,production_candidate_uuid,production_candidate_label,other_candidates,evidence,risk,recommended_decision,user_decision,user_note
P4-0001,SITE,S017:송도센터파크,5603ec61-debc-40d3-bef8-c602be4f9f43,송도센터파크탑라이트 설계변경으로 인한 보수의건,d518d26a-3405-436a-9ea9-da20896dd8f4:송도센터파크,protected SONGDO; amount agrees; customer agrees; name score 0.38,HIGH,DEFER,,
P4-0002,SITE,S035:속초 힐스테이트 균열,ae1a4bec-35c3-4401-be6a-1e082e45b071,속초 힐스테이트 균열보수,0cd62e37-d43e-45ad-aafa-879c41a86c6b:힐스테이트 마포더퍼스트 균열보수 | 90a0a1ef-2507-46b7-a1a1-3b68a33e921b:속초영랑힐스테이트 PC보수,candidate ranking only (0.89),HIGH,DEFER,,
P4-0003,SITE,S064:대전도안 지하차도,5b925522-72de-4297-a8bd-2091c6e1e071,대전지하차도 PCWALL 상부 단차보강작업,2c636eae-9796-491c-80f9-45de9ca46d6f:대전도안 지하차도 PC단차 보수공사,protected DAEJEON; amount agrees; customer agrees; name score 0.31,HIGH,DEFER,,
P4-0004,SITE,S067:여수 죽림더프라우드 (현대건설),9ddbc746-f1a2-47da-99d5-483239c91fb4,여수 죽림더프라우드(현대건설)지하주차장 PC부재 보수 2차,"7cdd5e25-3c79-443f-bd17-105508a72661:여수 죽림더프라우드(현대건설)지하주차장 PC부재 보수(9월, 11월) | 3471d20e-b920-4f46-94ae-4b67c2fcbc10:여수죽림 선투입보수(성보산업개발)",protected YEOSU; amount differs; customer agrees; name score 1.00,HIGH,DEFER,,
P4-0005,SITE,S068:여수 죽림더프라우드 (현대건설),819c0b09-d093-4717-a09d-86896d527845,심표설계 삼표포항공장(여수죽림 발코니),"908f5f78-d868-46b6-bdfa-2fb6ae5a00cc:여수 죽림 내민발코니 철판 확공 보수 | 9ddbc746-f1a2-47da-99d5-483239c91fb4:여수 죽림더프라우드(현대건설)지하주차장 PC부재 보수 2차 | 7cdd5e25-3c79-443f-bd17-105508a72661:여수 죽림더프라우드(현대건설)지하주차장 PC부재 보수(9월, 11월) | 020eae00-97cb-4f37-ad1e-0c2fbcbfb797:공덕자이 PC발코니 부재 보수공사",protected YEOSU; amount agrees; customer agrees; name score 0.81,HIGH,LINK,,
P4-0006,SITE,S090:아산 탕정지구 A-2BL 공동주택,cbe2f007-9e29-4902-8d76-343d5cef005b,아산 탕정지구 A-2BL 공동주택 지하주차장 인젝션 균열보수,806a28f4-9cdb-4daf-8524-722de025c0b7:아산 탕정지구 A-2BL 공동주택 지하주차장 마감보수공사,protected ASAN; amount agrees; customer agrees; name score 0.68,HIGH,LINK,,
P4-0007,SITE,S091:송도센터파크,d518d26a-3405-436a-9ea9-da20896dd8f4,송도센터파크,,protected SONGDO; amount agrees; customer agrees; name score 1.00,HIGH,LINK,,
P4-0008,SITE,S106:아산 탕정지구 A-2BL 공동주택,806a28f4-9cdb-4daf-8524-722de025c0b7,아산 탕정지구 A-2BL 공동주택 지하주차장 마감보수공사,cbe2f007-9e29-4902-8d76-343d5cef005b:아산 탕정지구 A-2BL 공동주택 지하주차장 인젝션 균열보수,protected ASAN; amount agrees; customer agrees; name score 0.70,HIGH,LINK,,
P4-0009,SITE,S111:용인 Y1 SK하이닉스 FAB동,dd456f1f-4032-4026-ad3e-5b1b2a0b34de,용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수공사,,protected YONGIN_FAB; amount differs; customer differs; name score 0.54,HIGH,DEFER,,
P4-0010,SITE,S112:힐스테이트 도안리버파크 3단지,b7ab85b6-836c-4fe9-bd2a-b2e929d37566,"대전도안5단지 힐스테이트 ",b69fb088-c427-4405-8b45-d3ec8b06a0c8:포항초곡힐스테이트(준공후) | 581e9847-9126-4932-a66b-f4429c2f2b0f:대전도안3단지 | 85dadb6f-69f3-470d-883a-d546773b95f9:대전도안2단지힐스테이트,candidate ranking only (0.50),HIGH,DEFER,,
P4-0011,SITE,S125:대전성남동 우미 신축아파트,c65ceacb-e796-4e4e-9603-2f630cdf37c1,대전성남동(우미건설)지하주차장,,candidate ranking only (0.50),HIGH,DEFER,,
P4-0012,SITE,S127:순천덕암 (GA건설),ae2031f8-7c7f-48c1-a256-512579484eb1,순천덕암(GA건설),,candidate ranking only (1.00),HIGH,DEFER,,
