canonical_site_code,canonical_site_name,canonical_operational_customer,canonical_contract_supply_amount,production_site_uuid,production_site_name,production_customer_name,production_legacy_budget,contract_amount_comparison,classification,confidence,matching_basis,candidate_count,recommended_action,review_reason,protected_same_name_group
S001,현대테라타워 시흥시청역 균열 1차,(주)삼표산업 인천몰탈공장,3198750,0d593101-64f5-461f-a897-6e98801ed69d,현대테라타워 시흥시청역 균열보수 1차,(주)삼표산업 인천몰탈공장,3198750,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.87),2,LINK,,
S002,일산지하차도 균열 및 부분터치업,주식회사 소명건설,780000,0ef0a27b-051c-47c6-88f5-5ae8c0608003,일산지하차도 PC부재 균열 및 부분터치업,주식회사 소명건설,780000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.80),1,LINK,,
S003,"힐스테이트 송도레이크4차 (2월건성, 3월삼표, 4월건성)",(주)건성,134350800,12f46c0d-286e-48b1-be2e-70de8c268676,"힐스테이트 송도레이크4차 PC부재보수(2월건성,3월삼표,4월건성)",(주)건성,134350800,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.83),1,LINK,,
S006,안성일죽 물류센터PC마감 2차 기성,제이와이 컨스트럭션,17500000,2aa9666d-415d-4291-94f0-356b7b4db3e6,안성일죽 물류센터PC마감 2차 기성,제이와이 컨스트럭션,17500000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,2,LINK,,
S007,삼표 여주공장 전기배관 및 박스 설계 오류,세움PC엔지니어링,3000000,2ce232ba-d17d-486d-8c77-7ec5c427f043,삼표 여주공장 PC부재 전기배관 및 박스 설계 오류 보수,세움PC엔지니어링,3000000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.79),1,LINK,,
S008,서대구 힐스테이트,(주)대우에스티,18000000,34107a34-f86f-4d60-bc83-efc0797732fa,서대구 힐스테이트 현장 보수비,(주)대우에스티,18000000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.74),1,LINK,,
S010,안성일죽 물류센터PC마감 1차기성,제이와이 컨스트럭션,62500000,36be6eb3-f373-45a2-ba32-39000f322194,안성일죽 물류센터PC마감 1차기성,제이와이 컨스트럭션,62500000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,2,LINK,,
S013,영등포 자이 디그니티 균열,(주)삼표산업 인천몰탈공장,4910000,489093cc-2d93-485b-b508-6e66438fef2f,영등포 자이 디그니티 균열보수,(주)삼표산업 인천몰탈공장,4910000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.91),1,LINK,,
S014,롯데 청량리 7구역 균열,(주)삼표산업 인천몰탈공장,2205000,4928cd7d-cd6b-407d-b8c0-b5d86daba910,롯데 청량리 7구역 균열보수,(주)삼표산업 인천몰탈공장,2205000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.90),1,LINK,,
S016,힐스테이트 봉담 프라이드시티,삼표피앤씨 주식회사,962500,527e88b9-91a2-4456-a030-a1910db9f3b0,힐스테이트 봉담 프라이드시티 PC부재보수,삼표피앤씨 주식회사,962500,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.80),1,LINK,,
